29-10-2020 16:23:42.103 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.103 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.103 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.103 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.104 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.105 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.106 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.107 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.108 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.109 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.110 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.111 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
29-10-2020 16:23:42.112 ERROR com.mrd.controller.UserController.getByUsername - test loi
